state, kid_count,inventor_count,kid_count_m,inventor_count_m,kid_count_f,inventor_count_f,inventor_percent,inventor_percent_m,inventor_percent_f,inventor_pq_1,inventor_pq_2,inventor_pq_3,inventor_pq_4,inventor_pq_5
,,,,,,,,,,0,0.0007134,0.0003227,0.000993,0.0030637
,,,,,,,,,,0.0001834,0.0001866,0,0.0021209,0.0024534
,,,,,,,,,,0,0,0.0017794,0.0022727,0.0035088
,,,,,,,,,,0,0.0010157,0.002441,0.0018975,0.0044743
,,,,,,,,,,0.0004543,0.0006416,0.0008797,0.0027579,0.004451
,,,,,,,,,,0.0003552,0.0003752,0.0008503,0.0014738,0.0038961
,,,,,,,,,,0,0,0,0,
,,,,,,,,,,0,0,0,0.0017182,0.0024096
,,,,,,,,,,0,0.000357,0.0005247,0.0021858,0.0021692
,,,,,,,,,,0,0,0,0.0026042,0
,,,,,,,,,,0.0002396,0,0.0006833,0.0021304,0.0012369
,,,,,,,,,,0.0002633,0.0007561,0.0005283,0.0007331,0.0011211
,,,,,,,,,,0,0.0005977,0,0.0011751,0.0016529
,,,,,,,,,,0.0004078,0,0,0,0.0056818
,,,,,,,,,,0,0,0,0,0.001287
,,,,,,,,,,0,0.0003013,0.0007997,0.0008293,0.0035005
,,,,,,,,,,0,0,0.0003788,0.001626,0.0010417
,,,,,,,,,,0,0,0.0020367,0,0
,,,,,,,,,,0.0002231,0.0005463,0.0010412,0.0022325,0.0043872
,,,,,,,,,,0.0001695,0.0002269,0.0004242,0.0006237,0.0032408
,,,,,,,,,,0.0005615,0,0,0,0
,,,,,,,,,,0,0,0.0002458,0.0010585,0.0023571
,,,,,,,,,,0,0,0.0011641,0,0
,,,,,,,,,,0.0007822,0,0.0011433,0.0015957,0.0020492
,,,,,,,,,,0,0,0,0,
,,,,,,,,,,0,0,0.0008636,0,0.0057803
,,,,,,,,,,0.001385,0.0009403,0.0007215,0.0018944,0.0022351
,,,,,,,,,,0.0005566,0.0005219,0.0011817,0.0016011,0.0052601
,,,,,,,,,,0,0,0.0016835,0,0.0069204
,,,,,,,,,,0.0008829,0.0003513,0.0013481,0.0021994,0.0049053
,,,,,,,,,,0.0008658,0.0035817,0.0034671,0.0035698,0.0082919
,,,,,,,,,,0.0028222,0.0029568,0.0020877,0.0049579,0.0071869
,,,,,,,,,,0,0,0.0024783,0.0028986,0.0103093
