cz,city,state,stateabbrv,kid_count,inventor,kid_count_m,inventor_m,inventor_f,kid_count_f,inventor_pq_1,inventor_pq_2,inventor_pq_3,inventor_pq_4,inventor_pq_5
12502,Washington Court House,Ohio,OH,7349,0.0006804,3799,0.0007897,0.0005637,3548,0,0.000469,0.0005056,0,0.0052356
12600,Wayne,Indiana,IN,6705,0.0008949,3376,0.0017773,0,3329,0,0,0.0005774,0.0013289,0.0034247
12701,Cincinnati,Ohio,OH,123381,0.0030556,61968,0.0047282,0.001368,61403,0.0007635,0.0008519,0.0014927,0.0037095,0.0069021
12702,Maysville,Kentucky,KY,3187,0.0003138,1620,0.0006173,0,1567,0.0011933,0,0,0,
12800,Washington,Indiana,IN,9417,0.0025486,4696,0.0042589,0.0008473,4721,0,0.0005543,0.0019516,0.0034803,0.0060241
12901,Lexington-Fayette,Kentucky,KY,27453,0.0022948,13866,0.0039665,0.0005888,13586,0.0012336,0.0012835,0.0003668,0.0013889,0.0067545
12902,Mount Sterling,Kentucky,KY,2119,0,1082,0,0,1037,0,0,0,0,
12903,Danville,Kentucky,KY,4921,0.0012193,2433,0.0016441,0.0008039,2488,0,0,0.0017065,0.002064,0.004386
13000,Elizabethtown,Kentucky,KY,11772,0.0005097,5974,0.0010044,0,5798,0.0004697,0.0003393,0.0003014,0,0.0028708
13101,Louisville,Kentucky,KY,65007,0.0015075,32542,0.0023047,0.0007085,32463,0.000554,0.0007123,0.0007541,0.0014526,0.0037616
13102,Madison,Indiana,IN,3025,0.0013223,1517,0.0019776,0.0006631,1508,0,0,0.0025543,0.0033613,0
13103,Bardstown,Kentucky,KY,4365,0.0018328,2186,0.0036597,0,2179,0.0013141,0.0009099,0.0017406,0.0032715,0.0022779
13200,Owensboro,Kentucky,KY,11238,0.0015127,5600,0.0025,0.0005321,5638,0,0.0004097,0.0013418,0.0020317,0.0055911
13300,Findlay,Ohio,OH,16630,0.0021648,8259,0.0037535,0.0005974,8369,0.0005602,0.0005233,0.0022518,0.0027523,0.0056243
13400,Lima,Ohio,OH,19527,0.0024581,9905,0.0035336,0.0013512,9621,0,0.0004863,0.0021053,0.0034136,0.0062967
13501,Toledo,Ohio,OH,54484,0.0026063,27443,0.0042634,0.0009246,27038,0.0007487,0.0011918,0.0019605,0.002735,0.0052951
13502,Defiance,Ohio,OH,7297,0.0013704,3661,0.0024583,0.000275,3636,0,0,0.0023419,0.0009583,0.0033113
13600,South Bend,Indiana,IN,42278,0.0022943,21408,0.0037836,0.0007667,20870,0.0008691,0.0016115,0.0009291,0.0028588,0.0053505
13700,Concord,Indiana,IN,24685,0.0020255,12565,0.0035018,0.000495,12120,0.000974,0.0007225,0.0013425,0.0028711,0.0049361
13800,Wayne,Indiana,IN,8921,0.0040354,4570,0.0067834,0.0011492,4351,0.0010989,0.0018105,0.0024184,0.0037313,0.0116359
13900,Center,Indiana,IN,12500,0.00224,6361,0.0036158,0.0008145,6139,0.0006519,0.001385,0.000701,0.0021361,0.005618
14000,Muncie,Indiana,IN,24498,0.0014695,12510,0.0023181,0.000584,11987,0.000526,0.0008079,0.0015576,0.001569,0.0028362
14100,Fort Wayne,Indiana,IN,37157,0.0028258,18740,0.005016,0.0005973,18416,0.0007688,0.0012461,0.002272,0.0030059,0.0055707
14200,Indianapolis,Indiana,IN,91085,0.0025251,45842,0.0041883,0.0008399,45242,0.0006219,0.0008229,0.0014741,0.0028218,0.0050906
14300,Columbus,Indiana,IN,10051,0.0027858,5070,0.0045365,0.0010042,4979,0,0.000461,0.0027668,0.0028759,0.007706
14400,Terre Haute,Indiana,IN,15727,0.0020983,7991,0.0032537,0.0009049,7736,0.0004011,0.0009012,0.0009869,0.0030295,0.0063035
14500,Lafayette,Indiana,IN,20475,0.0028816,10544,0.004742,0.0009063,9931,0.0007637,0.0010466,0.0017741,0.0029817,0.0077886
14600,Bloomington,Indiana,IN,15066,0.0022567,7703,0.0041542,0.0002716,7363,0.0004246,0.0009222,0.0008121,0.0034722,0.0064991
14700,Evansville,Indiana,IN,25024,0.0033967,12551,0.0053382,0.0014431,12473,0.0009846,0.0013492,0.0016821,0.0046248,0.0071692
14801,Olney,Illinois,IL,3587,0.0019515,1815,0.0027548,0.0011287,1772,0,0.0011236,0.0019608,0.0027322,0.0071942
14802,Vincennes,Indiana,IN,3460,0.0017341,1742,0.0034443,0,1718,0,0.0026247,0.0010718,0,0.0068807
14900,Gary,Indiana,IN,45245,0.0019008,22789,0.0030278,0.0007571,22454,0.0009893,0.0007301,0.0008521,0.0018687,0.004391
15000,Canton,Ohio,OH,44976,0.002468,22527,0.0041728,0.0007577,22436,0.0006357,0.0010338,0.0016205,0.0029481,0.0083243
15100,Lorain,Ohio,OH,28322,0.002295,14281,0.0039213,0.0006411,14038,0.0002777,0.0014937,0.0018139,0.0034238,0.0036924
